rank,system_rank,cns_name,component,n_objects,lhs,ra_2000,dec_2000,proper_motion_arcsec_yr,proper_motion_angle_deg,parallax_arcsec,parallax_error,spectral_type,V_mag,Mv_mag,mass_msun,notes,common_name,distance_ly
54,54,GJ 1116,A,2,2076,08 58 14.9,+19 45 43,0.874,267.7,0.19120,0.00250,M5.5 VJ,14.06,15.46,0.11,,EI Cancri,17.04
54,54,GJ 1116,B,,2077,08 58 14.9,+19 45 49,0.874,267.7,0.19120,0.00250,M V,14.92,16.32,0.10,separation < 2",,17.04
55,55,G 099-049,,1,,06 00 03.5,+02 42 24,0.313,097.5,0.19077,0.00186,M3.5 V,11.31,12.71,0.19,,,17.08
56,56,LHS 1723,,1,1723,05 01 57.4,-06 56 47,0.769,226.9,0.18792,0.00126,M4.0 V,12.22,13.59,0.15,,,17.35
57,57,2MA 0939-2448,,1,,09 39 35.5,-24 48 28,1.192,151.2,0.18730,0.00460,T8.0 V,,,0.03,,,17.40
58,58,GJ 445,,1,2459,11 47 41.4,+78 41 28,0.885,057.1,0.18726,0.00164,M3.5 V,10.79,12.15,0.24,,,17.40
59,59,GJ 526,,1,47,13 45 43.8,+14 53 29,2.298,129.3,0.18472,0.00074,M1.0 V,8.46,9.79,0.53,,Wolf 498,17.64
60,60,GJ 169.1,A,2,26,04 31 11.8,+58 58 38,2.427,147.6,0.18052,0.00078,M4.0 V,11.04,12.32,0.20,,Stein 2051,18.06
60,60,GJ 169.1,B,,27,04 31 11.8,+58 58 38,2.427,147.6,0.18052,0.00078,DC5,12.43,13.71,0.50,separation 8",,18.06
61,61,GJ 251,,1,1879,06 54 49.0,+33 16 05,0.831,241.3,0.17811,0.00143,M3.0 V,10.02,11.27,0.34,,,18.31
62,62,2MA 1835+3259,,1,,18 35 37.9,+32 59 54,0.759,186.1,0.17650,0.00050,M8.5 V,18.27,19.50,0.07,,,18.47
63,63,GJ 205,,1,30,05 31 27.4,-03 40 38,2.228,160.0,0.17599,0.00104,M1.0 V,7.95,9.18,0.57,,Wolf 1453,18.52
64,64,LP 816-060,,1,,20 52 33.0,-16 58 29,0.308,275.7,0.17503,0.00340,M3.5 V,11.50,12.72,0.19,,,18.63
65,65,2MA 0415-0935,,1,,04 15 19.5,-09 35 07,2.255,076.5,0.17434,0.00276,T8.0 V,,,0.03,,,18.70
